job_no,domain,roles,companies,locations,experience,salaries,skills
230,Data & AI,AI Engineer,Ecordon Solutions,"Noida, Sector 63",0-1 Yrs,Not Disclosed,"ai engineer,ai,troubleshooting,agile,artificial intelligence,ai models,architecture,Intelligence"
231,Data & AI,AI Engineer,Ecordon Solutions,"Noida, Sector 63",0-1 Yrs,Not Disclosed,"ai engineer,Data Engineering,ai,Machine Learning,artificial intelligence,Machine,Engineering,Data"
232,Data & AI,Junior AI Engineer,Infosys,Bengaluru,2-5 Yrs,Not Disclosed,"Ai Engineer,Airflow,Tensorflow,Ai,Llm,Machine Learning,Devops,Azure Ml"
233,Data & AI,Generative AI Engineer,Tech Mahindra,"Hyderabad, Pune, Bengaluru",6-12 Yrs,Not Disclosed,"AWS Bedrock,RAG,Python,AgenticAI,Langchain,Langgraph,LLM,Artificial Intelligence"
234,Data & AI,GenAI / Agentic AI Engineer,Infosys,Bengaluru,4-9 Yrs,Not Disclosed,"Ai Engineer,python,generative ai,ai,machine learning,artificial intelligence,docker,qa"
235,Data & AI,Lead AI Engineer - Hyderabad,Tech Mahindra,"Hybrid - Hyderabad, Chennai, Bengaluru",7-10 Yrs,Not Disclosed,"Tensorflow,Generative Ai,Natural Language Processing,AWS,Artificial Intelligence,Processing,Languages,Process"
236,Data & AI,Lead AI Engineer,Ecolab Global Services,Bengaluru,6-8 Yrs,Not Disclosed,"ai engineer,rest,erp,sap,api gateway,virtualization,workflow orchestration,ai"
237,Data & AI,Gen Ai Engineer,Sonata Software,"Hyderabad, Chennai, Bengaluru",7-15 Yrs,Not Disclosed,"Agentic Ai,Ai,.Net,semantic,Semantic,Gen,Artificial Intelligence"
238,Data & AI,Lead AI Engineer,Ecolab Global Services,Bengaluru,6-8 Yrs,Not Disclosed,"ai engineer,analytics,security protocols,python,apis,ai,llm,caching"
239,Data & AI,Lead AI Engineer,Ecolab Global Services,Bengaluru,8-10 Yrs,Not Disclosed,"ai engineer,ai,engineering standards,language models,architecture,Artificial Intelligence,Engineering,Languages"
240,Data & AI,Gen AI Engineer,VH MOBILE METRICS - 360 Technology Group,"Hybrid - Hyderabad, Pune, Bengaluru",5-10 Yrs,Not Disclosed,"Agentic AI / AI Agents,Vertex AI,LangChain,LLM,Python,RAG Architecture,API Integration,Generative AI"
241,Data & AI,GEN AI Engineer,Capgemini,"Hybrid - Pune, Bengaluru",4-9 Yrs,Not Disclosed,"Generative Ai,Artificial Intelligence,Python,Pytorch,Tensorflow,Cloud Platforms,Natural Language Processing,Machine Learning"
242,Data & AI,AI Expert / Principal AI Engineer,Tata Consultancy Services,"Hyderabad, Pune, Bengaluru",10-20 Yrs,Not Disclosed,"Agentic Ai,Generative Ai,Machine Learning,Artificial Intelligence,Machine"
243,Data & AI,Gen - AI Engineer,Johnson Electric,Chennai,5-10 Yrs,Not Disclosed,"Generative Ai,Python,Java,Prompt Engineering,C++,llm,Devops,Machine Learning"
244,Data & AI,AI Engineer,HCLTech,"Hybrid - Noida, Hyderabad, Bengaluru",5-10 Yrs,Not Disclosed,"Generative Ai,Retrieval Augmented Generation,Python,Langchain,Artificial Intelligence,Generation,Intelligence"
245,Data & AI,Agentic AI Engineer,Tata Consultancy Services,"Hyderabad, Pune, Bengaluru",4-8 Yrs,Not Disclosed,"Agentic Ai,Generative Ai,AWS,Artificial Intelligence"
246,Data & AI,Princial Artificial Intelligence (AI) Engineer,Crate Infotech,Hybrid - Hyderabad,8-13 Yrs,45-50 Lacs PA,"Agentic Ai,Enterprise Applications,Artificial Intelligence,AWS,Python,Generative Ai,Machine Learning,SQL"
247,Data & AI,AI Engineer,Pepsico,Hyderabad,1-3 Yrs,Not Disclosed,"ai engineer,python,regression testing,ai solutions,ai frameworks,sre,ai,process improvement"
248,Data & AI,AI /Engineer,Accenture,Bengaluru,4-5 Yrs,Not Disclosed,"ml engineer,front end,kubernetes,python,issue resolution,forecasting,ai,devops engineer"
249,Data & AI,"Lead, AI Engineer",Schneider Electric India Pvt. Ltd.,Bengaluru,2-7 Yrs,Not Disclosed,"Supply chain,Data analysis,Automation,Statistical modeling,Data management,Analytical,Artificial Intelligence,Agile"
250,Data & AI,AI Engineer,Ecordon Solutions,"Noida, Sector 63",0-1 Yrs,Not Disclosed,"ai engineer,ai,troubleshooting,agile,artificial intelligence,ai models,architecture,Intelligence"
251,Data & AI,AI Engineer,Ecordon Solutions,"Noida, Sector 63",0-1 Yrs,Not Disclosed,"ai engineer,Data Engineering,ai,Machine Learning,artificial intelligence,Machine,Engineering,Data"
252,Data & AI,Junior AI Engineer,Infosys,Bengaluru,2-5 Yrs,Not Disclosed,"Ai Engineer,Airflow,Tensorflow,Ai,Llm,Machine Learning,Devops,Azure Ml"
253,Data & AI,Generative AI Engineer,Tech Mahindra,"Hyderabad, Pune, Bengaluru",6-12 Yrs,Not Disclosed,"AWS Bedrock,RAG,Python,AgenticAI,Langchain,Langgraph,LLM,Artificial Intelligence"
254,Data & AI,GenAI / Agentic AI Engineer,Infosys,Bengaluru,4-9 Yrs,Not Disclosed,"Ai Engineer,python,generative ai,ai,machine learning,artificial intelligence,docker,qa"
255,Data & AI,Lead AI Engineer - Hyderabad,Tech Mahindra,"Hybrid - Hyderabad, Chennai, Bengaluru",7-10 Yrs,Not Disclosed,"Tensorflow,Generative Ai,Natural Language Processing,AWS,Artificial Intelligence,Processing,Languages,Process"
256,Data & AI,Lead AI Engineer,Ecolab Global Services,Bengaluru,6-8 Yrs,Not Disclosed,"ai engineer,rest,erp,sap,api gateway,virtualization,workflow orchestration,ai"
257,Data & AI,Gen Ai Engineer,Sonata Software,"Hyderabad, Chennai, Bengaluru",7-15 Yrs,Not Disclosed,"Agentic Ai,Ai,.Net,semantic,Semantic,Gen,Artificial Intelligence"
258,Data & AI,Lead AI Engineer,Ecolab Global Services,Bengaluru,6-8 Yrs,Not Disclosed,"ai engineer,analytics,security protocols,python,apis,ai,llm,caching"
259,Data & AI,Lead AI Engineer,Ecolab Global Services,Bengaluru,8-10 Yrs,Not Disclosed,"ai engineer,ai,engineering standards,language models,architecture,Artificial Intelligence,Engineering,Languages"
260,Data & AI,Gen AI Engineer,VH MOBILE METRICS - 360 Technology Group,"Hybrid - Hyderabad, Pune, Bengaluru",5-10 Yrs,Not Disclosed,"Agentic AI / AI Agents,Vertex AI,LangChain,LLM,Python,RAG Architecture,API Integration,Generative AI"
261,Data & AI,Junior Agentic AI Engineer,Chemical & Mineral Industries,Hyderabad,3-5 Yrs,Not Disclosed,"data structures,GitHub,API,Artificial Intelligence,Data"
262,Data & AI,Junior Agentic AI Engineer,Careernet,Hybrid - Hyderabad,5-9 Yrs,Not Disclosed,"Agentic AI Design,Azure AI Foundry,TypeScript,Hierarchical Agents,Swarms,Docker-based deployments,Databricks,ReAct"
263,Data & AI,AI Engineer,Meltwater,Hyderabad,0-7 Yrs,Not Disclosed,"Computer science,Computer vision,Health insurance,orchestration,Image processing,Debugging,Agile,Genetics"
264,Data & AI,GEN AI Engineer,ITC Infotech,"Hybrid - Hyderabad, Pune, Bengaluru",5-9 Yrs,15-25 Lacs PA,"Generative Ai,Artificial Intelligence,AZURE,Tensorflow,Langchain,Chatbot,GPT,llm"
265,Data & AI,Agentic AI Engineer,Tata Consultancy Services,"Hyderabad, Pune, Bengaluru",4-8 Yrs,Not Disclosed,"Agentic Ai,Generative Ai,AWS,Artificial Intelligence"
266,Data & AI,Principal AI Engineer,Leading Client,Chennai,10-15 Yrs,Not Disclosed,"Gen AI,Airflow,MLOps,PySpark,Snowflake,HITL,Azure AI,Databricks"
267,Data & AI,Gen Ai Engineer,TEKsystems,"Hybrid - Noida, Delhi / NCR",6-9 Yrs,10-20 Lacs PA,"Agentic Ai,Python,NLP,Langchain,Langgraph,Large Language Model,RAG,SQL"
268,Data & AI,Generative AI Engineer,Mavq,Hyderabad,1-4 Yrs,Not Disclosed,"Computer science,orchestration,Architecture,GCP,Focus,Cloud,Deployment,Management"
269,Data & AI,AI Engineer,Insight Global Technologies,Hybrid - Hyderabad,3-8 Yrs,Not Disclosed,"AI,LLM,Agentic Ai,RAG,ML,GenAI,Tensorflow,Langchain"
270,Data & AI,Lead AI Engr,Sparta Systems,Bengaluru,12-17 Yrs,Not Disclosed,"Business process,Computer science,NoSQL,Architecture,GCP,Value engineering,Machine learning,Market research"
271,Data & AI,AI Engineer,Neuzen Ai,Hyderabad,2-3 Yrs,Not Disclosed,"Computer science,Computer vision,data science,Machine learning,Deployment,Python,Engineering,Science"
272,Data & AI,Generative AI Engineers with LLM,ti Steps,Hyderabad,5-8 Yrs,7-9.5 Lacs PA,"Agentic Ai,Prompt Engineering,Generative Ai,Ml Deployment,Embedded Development,LLM,Development,Engineering"
273,Data & AI,AI Engineer,Sandhata Technologies,Hyderabad,2-4 Yrs,Not Disclosed,"compliance,s3,kubernetes,risk management,python,ai,aws sagemaker,machine learning"
274,Data & AI,AI Engineer,Infobeans,"Indore, Pune, Chennai, Vadodara",2-7 Yrs,Not Disclosed,"image processing,c++,python,cnn,natural language processing,neural networks,machine learning,artificial intelligence"
275,Data & AI,Gen AI Engineer,Tata Consultancy Services,Hyderabad,4-9 Yrs,Not Disclosed,"Agentic Ai,Generative Ai,Retrieval Augmented Generation,Python,Generation,Artificial Intelligence,Gen"
276,Data & AI,Lead Gen AI Engineer,Xebia It Architects,Hybrid - Bengaluru,7-12 Yrs,Not Disclosed,"Vector Database,Agentic Ai,Generative Ai,Langgraph,Langchain,Artificial Intelligence,MCP,Retrieval Augmented Generation"
277,Data & AI,Lead AI Engineer,Avendus,Mumbai,5-7 Yrs,Not Disclosed,"python,natural language processing,neural networks,engineering,machine learning,artificial intelligence,application development,sql"
278,Data & AI,Generative AI Engineer,DXC Technology,Chennai,4-18 Yrs,Not Disclosed,"Performance tuning,metadata,Backend,Version control,Coding,Social media,HTTP,JSON"
279,Data & AI,Agentic AI Engineer,Experian,Hyderabad,5-10 Yrs,Not Disclosed,"ai engineer,emerging technologies,python,service management,automation anywhere,ai,cloud,automation"
280,Data & AI,Principal AI Engineer,Ecolab Global Services,Bengaluru,8-13 Yrs,Not Disclosed,"ai engineer,cloud,vector search,automation,ai,llm,cloud native,code quality"
281,Software Development,Software Developer-Senior I,FedEx,Hyderabad,7-9 Yrs,Not Disclosed,"Automation,Software design,Information security,MIS,Javascript,Agile,HTML,SDLC"
282,Software Development,Software Developer Trainee / Intern,Liangtuang Technologies,Noida,3 months duration,Unpaid,
283,Software Development,Software Developer,SmartDocs Business Solutions,Hyderabad,0-2 Yrs,Not Disclosed,"Computer science,Backend,Version control,GIT,Postgresql,MySQL,HTML,MongoDB"
284,Software Development,Software Developers & Programmers,Resx Analytics,Hyderabad,0-4 Yrs,Not Disclosed,"SIDE,Manager Technology,Management,Server architecture,Recruitment,Technology,Development,Serv"
285,Software Development,Software Developer,SLN Systems,Hyderabad,0-4 Yrs,Not Disclosed,"Computer science,Electrical engineering,Analytical,Software development life cycle,Database,Electronics,Mathematics,Analytics"
286,Software Development,Software Developer,SLN Systems,Hyderabad,0-4 Yrs,Not Disclosed,"Computer science,Electrical engineering,SQL database,Electronics,Mathematics,Engineering,Software,DBMS"
287,Software Development,Software Developer,Pyrotech Workspace Solutions,Udaipur,0-4 Yrs,Not Disclosed,"Software Developer,Software development,Development,Software"
288,Software Development,Software Developer,SLN Systems,Hyderabad,0-4 Yrs,Not Disclosed,"Computer science,Electrical engineering,operational support,Web services,Electronics,Mathematics,Windows,Unit testing"
289,Software Development,Software Developer,SLN Systems,Hyderabad,0-4 Yrs,Not Disclosed,"Computer science,Electrical engineering,J2Ee architecture,Electronics,PLSQL,Mathematics,Testing,Software development"
290,Software Development,Software Developer,Cytrion Software Solutions,Hyderabad,0-3 Yrs,Not Disclosed,"C,Application programming,Technical,PHP,Software,Android SDK,iPhone SDK,Software services"
291,Software Development,Software Developer,SLN Systems,Hyderabad,0-4 Yrs,Not Disclosed,"Computer science,Electrical engineering,Database testing,Web technologies,Database,Electronics,J2Ee,Mathematics"
292,Software Development,Software Developer,SLN Systems,Hyderabad,0-4 Yrs,Not Disclosed,"Computer science,Electrical engineering,Software testing,Web services,XML,Debugging,Database,Windows"
293,Software Development,Software Developers,Oxyzen Homes,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-1 Yrs,Not Disclosed,"Web technologies,ASP.Net,VC++,Windows,VB,Software development,Development,Software"
294,Software Development,Software Developer,Fortune Info Serve,"Dharwad, Hubli, Belgaum(Udyambag +9)",0-3 Yrs,1.5-3.5 Lacs PA,"LINQ,ASP DOT NET,SQL,Fullstack Development,.Net,C#,Java,HTML"
295,Software Development,Software Developer,ShreeCom InfoTech India Pvt. Ltd.,Pune,0-3 Yrs,Not Disclosed,"Web technologies,android application development,Software development life cycle,.Net,Customer service,Troubleshooting,Information technology,SDLC"
296,Software Development,Software Developer/Technical Lead,Incedo,"Hyderabad, Gurugram, Delhi / NCR",5-10 Yrs,15-25 Lacs PA,"Azure,Sql,Dotnet,Entity Framework,Microservices,.Net Core,Dotnet Azure,Development"
297,Software Development,"Senior Software Developer (C#.net, SQL, ERP Software)",Index Infotech India,Pune,4-5 Yrs,Not Disclosed,"SAN,SAP,SAP CRM,SSRS,Data structures,Visual Studio,Oracle,microsoft"
298,Software Development,Software Developer,Leap Robots,Hyderabad,0-1 Yrs,2.5-3 Lacs PA,"CSS,Javascript,Node.Js,HTML,Postgresql,React.Js,Expresjs,Electronjs"
299,Software Development,Software Developer,MNC,"Pimpri-Chinchwad, Pune",0-2 Yrs,2.75-5 Lacs PA,"Java,It Development,Software Development Methodologies,React.Js,Web Development,Python Web Framework,Angularjs,C++"
300,Software Development,Software Developer,Acciojob,"Noida, Hyderabad, Pune",0-5 Yrs,4-9 Lacs PA,"Fullstack Development,MongoDB,Java,Javascript,Spring Boot,Node.Js,Development,Boot"
301,Software Development,Software Developer-Senior I,FedEx,Hyderabad,7-9 Yrs,Not Disclosed,"Automation,Software design,Information security,MIS,Javascript,Agile,HTML,SDLC"
302,Software Development,Software Developer Trainee / Intern,Liangtuang Technologies,Noida,3 months duration,Unpaid,
303,Software Development,Software Developer,SmartDocs Business Solutions,Hyderabad,0-2 Yrs,Not Disclosed,"Computer science,Backend,Version control,GIT,Postgresql,MySQL,HTML,MongoDB"
304,Software Development,Software Developers & Programmers,Resx Analytics,Hyderabad,0-4 Yrs,Not Disclosed,"SIDE,Manager Technology,Management,Server architecture,Recruitment,Technology,Development,Serv"
305,Software Development,Software Developer,SLN Systems,Hyderabad,0-4 Yrs,Not Disclosed,"Computer science,Electrical engineering,Analytical,Software development life cycle,Database,Electronics,Mathematics,Analytics"
306,Software Development,Software Developer,SLN Systems,Hyderabad,0-4 Yrs,Not Disclosed,"Computer science,Electrical engineering,SQL database,Electronics,Mathematics,Engineering,Software,DBMS"
307,Software Development,Software Developer,Pyrotech Workspace Solutions,Udaipur,0-4 Yrs,Not Disclosed,"Software Developer,Software development,Development,Software"
308,Software Development,Software Developer,SLN Systems,Hyderabad,0-4 Yrs,Not Disclosed,"Computer science,Electrical engineering,operational support,Web services,Electronics,Mathematics,Windows,Unit testing"
309,Software Development,Software Developer,SLN Systems,Hyderabad,0-4 Yrs,Not Disclosed,"Computer science,Electrical engineering,J2Ee architecture,Electronics,PLSQL,Mathematics,Testing,Software development"
310,Software Development,Software Developer,Cytrion Software Solutions,Hyderabad,0-3 Yrs,Not Disclosed,"C,Application programming,Technical,PHP,Software,Android SDK,iPhone SDK,Software services"
311,Software Development,Software Developer,SLN Systems,Hyderabad,0-4 Yrs,Not Disclosed,"Computer science,Electrical engineering,Database testing,Web technologies,Database,Electronics,J2Ee,Mathematics"
312,Software Development,Software Developer,SLN Systems,Hyderabad,0-4 Yrs,Not Disclosed,"Computer science,Electrical engineering,Software testing,Web services,XML,Debugging,Database,Windows"
313,Software Development,Software Developers,Oxyzen Homes,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-1 Yrs,Not Disclosed,"Web technologies,ASP.Net,VC++,Windows,VB,Software development,Development,Software"
314,Software Development,Software Developer,Fortune Info Serve,"Dharwad, Hubli, Belgaum(Udyambag +9)",0-3 Yrs,1.5-3.5 Lacs PA,"LINQ,ASP DOT NET,SQL,Fullstack Development,.Net,C#,Java,HTML"
315,Software Development,Software Developer,ShreeCom InfoTech India Pvt. Ltd.,Pune,0-3 Yrs,Not Disclosed,"Web technologies,android application development,Software development life cycle,.Net,Customer service,Troubleshooting,Information technology,SDLC"
316,Software Development,Software Developer/Technical Lead,Incedo,"Hyderabad, Gurugram, Delhi / NCR",5-10 Yrs,15-25 Lacs PA,"Azure,Sql,Dotnet,Entity Framework,Microservices,.Net Core,Dotnet Azure,Development"
317,Software Development,"Senior Software Developer (C#.net, SQL, ERP Software)",Index Infotech India,Pune,4-5 Yrs,Not Disclosed,"SAN,SAP,SAP CRM,SSRS,Data structures,Visual Studio,Oracle,microsoft"
318,Software Development,Software Developer,Leap Robots,Hyderabad,0-1 Yrs,2.5-3 Lacs PA,"CSS,Javascript,Node.Js,HTML,Postgresql,React.Js,Expresjs,Electronjs"
319,Software Development,Software Developer,MNC,"Pimpri-Chinchwad, Pune",0-2 Yrs,2.75-5 Lacs PA,"Java,It Development,Software Development Methodologies,React.Js,Web Development,Python Web Framework,Angularjs,C++"
320,Software Development,Software Developer,Acciojob,"Noida, Hyderabad, Pune",0-5 Yrs,4-9 Lacs PA,"Fullstack Development,MongoDB,Java,Javascript,Spring Boot,Node.Js,Development,Boot"
321,Software Development,Urgent openings For Software Developer - Chennai,Z Tech Solutions,Chennai,0-2 Yrs,2.5-4 Lacs PA,"Java,Angular,Dotnet Development,Fullstack Development,Python,C#,Full Stack,HTML"
322,Software Development,SOFTWARE DEVELOPER/ENGINEER,Myospaz Software Technologies,Pune,0-3 Yrs,Not Disclosed,"jQuery,VB.NET,C,OOPS,Javascript,ASP.Net,MVC,bootstrap"
323,Software Development,SOFTWARE DEVELOPER/ENGINEER,Myospaz Software Technologies,Pune,0-3 Yrs,Not Disclosed,"jQuery,VB.NET,OOPS,Javascript,ASP.Net,MVC,bootstrap,SQL"
324,Software Development,SOFTWARE DEVELOPER/ENGINEER,Myospaz Software Technologies,Pune,0-3 Yrs,Not Disclosed,"jQuery,VB.NET,OOPS,Javascript,PHP,ASP.Net,MVC,bootstrap"
325,Software Development,Software Developer,BVM Web Solutions,Jaipur,0-3 Yrs,Not Disclosed,"c++,css,hibernate,jquery,sql,spring,java,oops"
326,Software Development,SOFTWARE DEVELOPER/ENGINEER,Myospaz Software Technologies,Pune,0-3 Yrs,Not Disclosed,"jQuery,VB.NET,C,OOPS,Javascript,ASP.Net,MVC,bootstrap"
327,Software Development,Software Developer,Heresy Info Tech,Hyderabad,1-2 Yrs,Not Disclosed,"NoSQL,MVC architecture,Javascript,Deployment,HTML,Open source,angularjs,Ruby"
328,Software Development,Software Developer,Rhombus Infotech,Mohali,0-1 Yrs,Not Disclosed,"c#,interfaces,c++,python,css,software development,software testing,system testing"
329,Software Development,Software Developer,BVM Web Solutions,Jaipur,0-3 Yrs,Not Disclosed,"PDF,Web technologies,Web development,PHP,HR,IOS,Software solutions,Android"
330,Software Development,Software Developer,Coaxial Global Services,Nagercoil,0-5 Yrs,Not Disclosed,"Software Developer,Software,Software development,Development"
331,Software Development,Software Developer,Impressive Star Softwares,Jaipur,0-3 Yrs,Not Disclosed,"Tally,Manager Technology,Programming,Business management,Unit testing,Software testing,Development,Program"
332,Software Development,Saas Software Developer,BVM Web Solutions,Jaipur,0-4 Yrs,Not Disclosed,"PDF,Web technologies,SAAS,Web development,PHP,HR,IOS,Software solutions"
333,Software Development,Software Developer,Hexaware Technologies,"Hyderabad, Pune, Bengaluru",6-11 Yrs,6-16 Lacs PA,"Java,Gcp Cloud,Spring Boot,Microservices,Spring,Development,Software development,GCP"
334,Software Development,Software Developer,Perfect Digital Media Resources,Chennai,0-1 Yrs,Not Disclosed,"Javascript,Node.Js,React.Js,Laravel,Python,MySQL,HTML,Software"
335,Software Development,Software Developer,Acciojob,"Chennai, Bengaluru",0-5 Yrs,4-9 Lacs PA,"Mern Stack,Fullstack Development,Javascript,MongoDB,Node.Js,Software,Stack,Development"
336,Software Development,Walk-in || Software Developer,Ohum Healthcare Pvt. Ltd. hring for Software Testing & Development both profile,Pune,26 May - 30 May,1.25-3 Lacs PA,"Java,Dot Net,Software Testing,Manual Testing,Manual Functional Testing,Java frehser,Java expereince,Software Development Life Cycle"
337,Software Development,Quantum Software Developer,Amrita Vishwa Vidyapeetham,Kollam,0-4 Yrs,Not Disclosed,"Computer science,Backend,Networking,Artificial Intelligence,Machine learning,Performance optimization,Hardware,Management"
338,Software Development,"Software Developer (C++, C#)",Siemens Healthcare,Bengaluru,0-7 Yrs,Not Disclosed,"C++,Diagnostics,cyber security,Coding,Integration testing,Workflow,Windows,Unit testing"
339,Software Development,Software Developer - Robotics,Stemford India,Noida,0-4 Yrs,Not Disclosed,"Unix,Computer science,Geometry,C++,Linux,Coding,Functional testing,Machine learning"
340,Software Development,Software Developer 5,Oracle,Hyderabad,12-17 Yrs,Not Disclosed,"Computer science,operational support,Operating systems,Coding,Debugging,Cloud,Software development life cycle,Architecting"
341,Software Development,Full Stack Developer,Deloitte US-India Offices,Hybrid - Bengaluru,2-5 Yrs,Not Disclosed,"Javascript,Node.Js,React.Js,Python,SQL,Fullstack Development,Typescript,HTML"
342,Software Development,Full Stack Developer,Easemytrip,"Noida, Gurugram",5-10 Yrs,Not Disclosed,"C#,Angularjs,.Net,Asp.Net Core,.Net Core,Web Api,C,Programming"
343,Software Development,Full Stack Developer,Persistent,Hyderabad,4-8 Yrs,Not Disclosed,"fullstack development,continuous integration,kubernetes,stack,ci/cd,networking,docker,microservices"
344,Software Development,Full stack Developer (Java+React),Fractal Analytics,Mumbai,4-7 Yrs,Not Disclosed,"Multithreading,RDBMS,MySQL,Javascript,Performance testing,Web designing,Scrum,Apache"
345,Software Development,Full Stack Developer - GenAI Systems,Crisil,Pune,12-17 Yrs,Not Disclosed,"stack development,python,fullstack development,css,microsoft azure,engineering,javascript,artificial intelligence"
346,Software Development,Full Stack Developer,Godigi Infotech,Mumbai,0-1 Yrs,Not Disclosed,"Application deployment,continuous integration,github,Front end,Postgresql,Agile,HTML,Ajax"
347,Software Development,Full Stack Developer-AI,INTERNAL,"Hybrid - Hyderabad, Gurugram, Bengaluru",7-12 Yrs,20-35 Lacs PA,"Angularjs,Fullstack Development,React.Js,Genai,Java,Generative Ai,Node.Js,Python"
348,Software Development,Full stack developer,Cognizant,Hyderabad,6-7 Yrs,Not Disclosed,"continuous integration,css,fullstack development,stack,vertex,ci/cd,artificial intelligence,scalability"
349,Software Development,AWS Full stack developer,Coforge,"Hybrid - Hyderabad, Pune, Bengaluru",6-11 Yrs,Not Disclosed,"Typescript,Aws Serverless,AWS,Angular,S3,GIT,Cloud watch,API"
350,Software Development,AWS Full Stack Developer (GDC),Hitachi Digital Services,"Hybrid - Hyderabad, Pune, Bengaluru",8-12 Yrs,Not Disclosed,"Node.Js,AWS,Full Stack,Developer,Development,Gdc,Stack"
351,Software Development,Azure AI Full Stack Developer,CMM Level 5 IT Company,"Hybrid - Hyderabad, Pune, Bengaluru",7-12 Yrs,Not Disclosed,"C#,.NET Core,React,ASP.NET Core,ReactJS,Azure OpenAI,AI Integration,LLM"
352,Software Development,AI Full Stack Developer,Tata Consultancy Services(TCS),"Hybrid - Hyderabad, Chennai, Bengaluru",12-21 Yrs,15-30 Lacs PA,"AI Full Stack Developer,Machine Learning,Python,Full Stack,Artificial Intelligence,Machine,Stack,Development"
353,Software Development,Virtusa actively looking For Full Stack Developers,Virtusa,"Hyderabad, Chennai",5-9 Yrs,15-25 Lacs PA,"Java,Spring Boot,Microservices,Angular,Java Development,Spring,Stack,Development"
354,Software Development,AI + Full Stack Developer,Vinculum Solutions,Bengaluru,0-3 Yrs,Not Disclosed,"Langchain,Mean Stack,Fullstack Development,AI agents,Conversational Ai,Express,Node.Js,Voice AI"
355,Software Development,Full Stack Developer II,FedEx,Hyderabad,3-5 Yrs,Not Disclosed,"fullstack development,css,application design,solution development,problem solving,engineering,hibernate,javascript"
356,Software Development,Full Stack Developer,IBM,Bengaluru,3-6 Yrs,Not Disclosed,"full stack developer,kubernetes,css,python,github,restful,ibm cloud,react"
357,Software Development,AI Full Stack Developer,Tata Consultancy Services(TCS),"Hybrid - Hyderabad, Chennai, Bengaluru",11-21 Yrs,15-30 Lacs PA,"Fullstack Development,AI,Full Stack,Joule,Python,Stack,Development,Artificial Intelligence"
358,Software Development,Full Stack Developer,Chemical & Mineral Industries,Hyderabad,4-7 Yrs,Not Disclosed,"frontend,integration,backend,Stack,Development,Full Stack,Front end"
359,Software Development,Walk-in || Azure +.Net Full Stack Developer,Tata Consultancy Services,Hyderabad,30 May,Not Disclosed,"Azure Functions,.Net,Azure App Service,React,SQL,Web API,Azure Service Bus,GIT"
360,Software Development,GenAI Full Stack Developer,PwC Service Delivery Center,"Hybrid - Kolkata, Hyderabad, Bengaluru",4-8 Yrs,Not Disclosed,"GenAI,Java,Node,Full Stack,Cloud Platform,React,Angular,Python"
361,Software Development,Full Stack Developer,Deloitte US-India Offices,Hybrid - Bengaluru,2-5 Yrs,Not Disclosed,"Javascript,Node.Js,React.Js,Python,SQL,Fullstack Development,Typescript,HTML"
362,Software Development,Full Stack Developer,Easemytrip,"Noida, Gurugram",5-10 Yrs,Not Disclosed,"C#,Angularjs,.Net,Asp.Net Core,.Net Core,Web Api,C,Programming"
363,Software Development,Full Stack Developer,Persistent,Hyderabad,4-8 Yrs,Not Disclosed,"fullstack development,continuous integration,kubernetes,stack,ci/cd,networking,docker,microservices"
364,Software Development,Full stack Developer (Java+React),Fractal Analytics,Mumbai,4-7 Yrs,Not Disclosed,"Multithreading,RDBMS,MySQL,Javascript,Performance testing,Web designing,Scrum,Apache"
365,Software Development,Full Stack Developer - GenAI Systems,Crisil,Pune,12-17 Yrs,Not Disclosed,"stack development,python,fullstack development,css,microsoft azure,engineering,javascript,artificial intelligence"
366,Software Development,Full Stack Developer,Godigi Infotech,Mumbai,0-1 Yrs,Not Disclosed,"Application deployment,continuous integration,github,Front end,Postgresql,Agile,HTML,Ajax"
367,Software Development,Full Stack Developer-AI,INTERNAL,"Hybrid - Hyderabad, Gurugram, Bengaluru",7-12 Yrs,20-35 Lacs PA,"Angularjs,Fullstack Development,React.Js,Genai,Java,Generative Ai,Node.Js,Python"
368,Software Development,Full stack developer,Cognizant,Hyderabad,6-7 Yrs,Not Disclosed,"continuous integration,css,fullstack development,stack,vertex,ci/cd,artificial intelligence,scalability"
369,Software Development,AWS Full stack developer,Coforge,"Hybrid - Hyderabad, Pune, Bengaluru",6-11 Yrs,Not Disclosed,"Typescript,Aws Serverless,AWS,Angular,S3,GIT,Cloud watch,API"
370,Software Development,AWS Full Stack Developer (GDC),Hitachi Digital Services,"Hybrid - Hyderabad, Pune, Bengaluru",8-12 Yrs,Not Disclosed,"Node.Js,AWS,Full Stack,Developer,Development,Gdc,Stack"
371,Software Development,Azure AI Full Stack Developer,CMM Level 5 IT Company,"Hybrid - Hyderabad, Pune, Bengaluru",7-12 Yrs,Not Disclosed,"C#,.NET Core,React,ASP.NET Core,ReactJS,Azure OpenAI,AI Integration,LLM"
372,Software Development,AI Full Stack Developer,Tata Consultancy Services(TCS),"Hybrid - Hyderabad, Chennai, Bengaluru",12-21 Yrs,15-30 Lacs PA,"AI Full Stack Developer,Machine Learning,Python,Full Stack,Artificial Intelligence,Machine,Stack,Development"
